               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  19,            0.041742,            0.012428,           0.0067387,             0.80338,             0.81128,             0.83062,             0.33239,            0.042553,           0.0093747,           0.0030551,             0.00406,             0.00406,             0.00406
                  20,            0.041312,            0.013101,           0.0068764,             0.78347,             0.79481,             0.81919,             0.33297,            0.039825,           0.0096233,           0.0028893,             0.00373,             0.00373,             0.00373
                  21,            0.040206,            0.011782,           0.0063083,             0.78755,             0.77311,             0.81126,             0.37024,            0.039947,           0.0093492,           0.0024214,              0.0034,              0.0034,              0.0034
                  22,            0.040361,            0.011641,            0.005191,             0.75994,             0.77557,             0.82008,             0.37845,            0.037587,           0.0091549,           0.0024493,             0.00307,             0.00307,             0.00307
                  23,            0.038515,            0.011893,           0.0045982,             0.75807,             0.81101,             0.82819,             0.35833,            0.038543,           0.0088817,           0.0025501,             0.00274,             0.00274,             0.00274
                  24,            0.037752,            0.012196,           0.0031993,             0.83579,             0.79254,             0.84881,             0.39045,            0.035691,           0.0092305,           0.0021347,             0.00241,             0.00241,             0.00241
                  25,            0.037445,            0.011719,           0.0032466,              0.8503,             0.84985,             0.88334,             0.43168,             0.03485,           0.0087692,           0.0018088,             0.00208,             0.00208,             0.00208
                  26,            0.037378,            0.011712,           0.0034243,             0.83866,             0.83352,             0.87563,             0.42258,            0.034891,           0.0087293,           0.0017516,             0.00175,             0.00175,             0.00175
                  27,            0.036147,            0.010969,           0.0028999,             0.80618,              0.8818,             0.88739,             0.43866,             0.03354,           0.0086899,           0.0016431,             0.00142,             0.00142,             0.00142
                  28,             0.03585,            0.011726,           0.0038543,             0.79238,             0.87183,             0.88673,             0.43825,            0.033196,           0.0088363,           0.0016253,             0.00109,             0.00109,             0.00109
                  29,            0.035794,            0.011069,           0.0037456,             0.81471,             0.84276,             0.88718,              0.4397,            0.033604,           0.0089317,           0.0018181,             0.00076,             0.00076,             0.00076
